Index,Data
REAL,REAL
1,549.8625
2,564.3
3,564.575
4,565.95
5,567.6
6,569.25
7,570.9
8,572.55
9,574.2
10,575.85
11,577.5
12,578.875
13,579.15
14,577.5
15,574.2
16,570.625
17,568.14996
18,567.05
19,566.5
20,565.4
21,562.925
22,559.35
23,555.775
24,553.025
25,551.1
26,549.45
27,547.8
28,545.875
29,543.4
30,540.92505
31,539.55
32,539.55
33,539.82495
34,539.275
35,538.175
36,537.625
37,538.45
38,540.92505
39,544.775
40,549.175
41,552.75
42,554.125
43,553.025
44,550.825
45,549.45
46,549.725
47,550.825
48,551.65
49,552.2
50,553.3
51,555.5
52,557.975
53,559.075
54,557.7
55,554.125
56,549.725
57,545.875
58,543.125
59,541.2
60,539.825
61,539.275
62,539.55
63,539.55
64,537.9
65,534.6
66,531.025
67,528.275
68,526.07495
69,523.32495
70,519.475
71,515.075
72,511.5
73,510.125
74,511.5
75,515.075
76,519.75
77,524.7
78,529.375
79,533.225
80,535.975
81,538.17505
82,540.65
83,543.125
84,544.5
85,544.5
86,544.5
87,545.875
88,548.35
89,550.82495
90,552.75
91,554.4
92,555.775
93,556.32495
94,555.5
95,553.025
96,549.175
97,544.5
98,539.55
99,534.6
100,529.65
101,524.7
102,519.75
103,514.8
104,510.125
105,506.55
106,504.9
107,505.175
108,506.55
109,508.2
110,509.85
111,511.225
112,511.775
113,511.225
114,509.85
115,508.475
116,507.925
117,508.475
118,509.85
119,511.225
120,511.775
121,510.95
122,508.475
123,504.625
124,499.95
125,495.275
126,491.425
127,488.95
128,488.125
129,488.95
130,491.425
131,495
132,498.575
133,501.05
134,501.875
135,501.325
136,499.95
137,498.575
138,498.025
139,498.84998
140,501.32498
141,504.9
142,508.2
143,509.575
144,508.2
145,504.625
146,500.225
147,496.375
148,493.9
149,493.075
150,493.625
151,494.725
152,495
153,493.625
154,491.425
155,490.325
156,491.425
157,493.9
158,496.1
159,497.2
160,497.75
161,498.84998
162,501.05
163,503.8
164,506.275
165,508.475
166,511.225
167,514.8
168,518.375
169,521.125
170,523.325
171,526.075
172,529.925
173,534.6
174,539.275
175,543.125
176,545.60004
177,546.42505
178,545.60004
179,543.125
180,539.275
181,534.6
182,529.925
183,526.075
184,523.325
185,521.125
186,518.375
187,514.8
188,511.5
189,510.125
190,511.5
191,514.8
192,518.1
193,519.75
194,519.75
195,519.75
196,521.125
197,523.6
198,525.8
199,526.625
200,525.8
201,523.32495
202,519.475
203,515.075
204,511.5
205,510.125
206,511.225
207,513.425
208,514.525
209,513.425
210,510.95
211,508.475
212,506.275
213,503.525
214,499.95
215,496.65002
216,495
217,495
218,495
219,493.34998
220,489.775
221,485.1
222,480.15
223,475.475
224,471.625
225,468.875
226,466.67502
227,463.92502
228,460.075
229,455.675
230,452.09998
231,450.45
232,450.725
233,451.825
234,452.375
235,451.825
236,450.45
237,449.075
238,448.25
239,447.975
240,447.975
241,447.975
242,447.975
243,447.975
244,448.25
245,449.075
246,450.45
247,451.825
248,452.65
249,453.2
250,454.3
251,456.5
252,458.975
253,460.075
254,458.7
255,455.4
256,451.82498
257,449.07498
258,447.15
259,445.775
260,445.225
261,445.5
262,445.775
263,445.225
264,444.125
265,443.3
266,442.75
267,441.925
268,440.825
269,440.275
270,440.55
271,440.825
272,440.275
273,438.9
274,437.25
275,435.6
276,433.95
277,432.3
278,430.925
279,430.65
280,432.3
281,435.875
282,440.275
283,444.125
284,446.875
285,448.8
286,450.175
287,450.45
288,449.075
289,446.875
290,445.77502
291,447.15002
292,450.725
293,455.4
294,460.35
295,465.025
296,468.875
297,471.625
298,473.82498
299,476.57498
300,480.15
301,483.725
302,486.475
303,488.4
304,490.05
305,491.425
306,491.975
307,491.15002
308,488.95
309,486.475
310,485.375
311,486.475
312,488.67502
313,489.77502
314,488.40002
315,485.1
316,481.525
317,479.05
318,477.95
319,477.675
320,477.675
321,477.4
322,476.575
323,475.475
324,475.2
325,476.57498
326,478.775
327,479.875
328,478.775
329,476.57498
330,475.2
331,475.475
332,476.575
333,477.125
334,476.575
335,475.2
336,473.55
337,471.625
338,469.15
339,466.675
340,465.575
341,466.675
342,469.15
343,471.35
344,472.45
345,472.725
346,472.45
347,471.625
348,470.25
349,468.6
350,466.67502
351,464.2
352,461.45
353,458.975
354,456.775
355,454.3
356,451.82498
357,450.72498
358,452.09998
359,455.675
360,460.35
361,465.3
362,470.25
363,475.2
364,480.15
365,485.1
366,490.05
367,495
368,499.675
369,503.525
370,506.275
371,508.475
372,510.95
373,513.7
374,515.9
375,516.725
376,515.9
377,513.7
378,511.225
379,509.85
380,509.85
381,509.85
382,508.475
383,506.275
384,505.175
