Date,Open,High,Low,Close,Volume
DATE,REAL,REAL,REAL,REAL,REAL
2/29/2008,12579.58,12580.15,12223.57,12266.39,351865000
3/3/2008,12264.36,12281.37,12161.05,12258.9,259730000
3/4/2008,12259.14,12259.23,12032.42,12213.8,347715000
3/5/2008,12204.93,12349.67,12140.53,12254.99,304570000
3/6/2008,12254.59,12254.59,12026.07,12040.39,283102000
3/7/2008,12039.09,12094.21,11819.69,11893.69,307579000
3/10/2008,11893.04,11926.5,11731.6,11740.15,312017000
3/11/2008,11741.33,12205.98,11741.33,12156.81,51090800
3/12/2008,12148.61,12360.58,12037.79,12110.24,44142800
3/13/2008,12096.49,12242.29,11832.88,12145.74,50733600
3/14/2008,12146.39,12249.86,11781.43,11951.09,51537800
3/17/2008,11946.45,12119.69,11650.44,11972.25,56830100
3/18/2008,11975.92,12411.63,11975.92,12392.66,53356300
3/19/2008,12391.52,12525.19,12077.27,12099.66,12038300
3/20/2008,12102.43,12434.34,12024.68,12361.32,61452200
3/24/2008,12361.97,12687.61,12346.17,12548.64,44990000
3/25/2008,12547.34,12639.82,12397.62,12532.6,41451200
3/26/2008,12531.79,12531.79,12309.62,12422.86,40556700
3/27/2008,12421.88,12528.13,12264.76,12302.46,40379300
3/28/2008,12303.92,12441.67,12164.22,12216.4,36869800
3/31/2008,12215.92,12384.84,12095.18,12262.89,41889900
4/1/2008,12266.64,12693.93,12266.64,12654.36,47451200
4/2/2008,12651.67,12790.28,12488.22,12608.92,43204400
4/3/2008,12604.69,12734.97,12455.04,12626.03,39201000
4/4/2008,12626.35,12738.3,12489.4,12609.42,37031000
4/7/2008,12612.59,12786.83,12550.22,12612.43,37477800
4/8/2008,12602.66,12664.38,12440.55,12576.44,36025000
4/9/2008,12574.65,12686.93,12416.53,12527.26,35566700
4/10/2008,12526.78,12705.9,12447.96,12581.98,36861500
4/11/2008,12579.78,12579.78,12280.89,12325.42,37237900
4/14/2008,12324.77,12430.86,12208.42,12302.06,35650200
4/15/2008,12303.6,12459.36,12223.97,12362.47,35812300
4/16/2008,12371.51,12670.56,12371.51,12619.27,42603700
4/17/2008,12617.4,12725.93,12472.71,12620.49,37138800
4/18/2008,12626.76,12965.47,12626.76,12849.36,42223800
4/21/2008,12850.91,12902.69,12666.08,12825.02,34205700
4/22/2008,12825.02,12870.86,12604.53,12720.23,38219000
4/23/2008,12721.45,12883.8,12627,12763.22,41036100
4/24/2008,12764.68,12979.88,12651.51,12848.95,44616600
4/25/2008,12848.38,12987.29,12703.7,12891.86,38911500
4/28/2008,12890.76,13015.62,12791.55,12871.75,36070000
4/29/2008,12870.37,12970.27,12737.82,12831.94,38153200
4/30/2008,12831.45,13052.91,12746.45,12820.13,45088900
5/1/2008,12818.34,13079.94,12721.94,13010,44487800
5/2/2008,13012.53,13191.49,12931.35,13058.2,39530300
5/5/2008,13056.57,13105.75,12896.5,12969.54,34100900
5/6/2008,12968.89,13071.07,12817.53,13020.83,39241000
5/7/2008,13010.82,13097.77,12756.14,12814.35,40758600
5/8/2008,12814.84,12965.95,12727.56,12866.78,38275500
5/9/2008,12860.68,12871.75,12648.09,12745.88,35186200
5/12/2008,12768.38,12903.33,12746.36,12876.05,33706300
5/13/2008,12872.08,12957.65,12716.16,12832.18,40185900
5/14/2008,12825.12,13037.44,12806.21,12898.38,39793700
5/15/2008,12891.29,13028.16,12798.39,12992.66,38364800
5/16/2008,12992.74,13069.52,12860.6,12986.8,38425900
5/19/2008,12985.41,13170.97,12899.19,13028.16,36839700
5/20/2008,13026.04,13026.04,12742.29,12828.68,38543200
5/21/2008,12824.94,12926.71,12550.39,12601.19,45179900
5/22/2008,12597.69,12743.68,12515.78,12625.62,39559600
5/23/2008,12620.9,12637.43,12420.2,12479.63,35163800
5/27/2008,12479.63,12626.84,12397.56,12548.35,35888600
5/28/2008,12542.9,12693.77,12437.38,12594.03,39272400
5/29/2008,12593.87,12760.21,12493.47,12646.22,38944400
5/30/2008,12647.36,12750.84,12555.6,12638.32,38456300
6/2/2008,12637.67,12645.4,12385.76,12503.82,37143200
6/3/2008,12503.2,12620.98,12317.61,12402.85,43963800
6/4/2008,12391.86,12540.37,12283.74,12390.48,43386400
6/5/2008,12388.81,12652.81,12358.07,12604.45,43507900
6/6/2008,12602.74,12602.74,12180.5,12209.81,47716600
6/9/2008,12210.13,12406.36,12102.5,12280.32,44045700
6/10/2008,12277.71,12425.98,12116.58,12289.76,46350700
6/11/2008,12286.34,12317.2,12029.46,12083.77,47799800
6/12/2008,12089.63,12337.72,12041.43,12141.58,47342400
6/13/2008,12144.59,12376.72,12096.23,12307.35,40804200
6/16/2008,12306.86,12381.44,12139.79,12269.08,37069400
6/17/2008,12269.65,12378.67,12114.14,12160.3,38019600
6/18/2008,12158.68,12212.33,11947.07,12029.06,45735700
6/19/2008,12022.54,12188.31,11881.03,12063.09,48116700
6/20/2008,12062.19,12078.23,11785.04,11842.69,53249000
6/23/2008,11843.83,11986.94,11731.06,11842.36,41863700
6/24/2008,11842.36,11962.37,11668.53,11807.43,47050500
6/25/2008,11805.31,12008.7,11683.75,11811.83,48256400
6/26/2008,11808.57,11808.57,11431.92,11453.42,52312800
6/27/2008,11452.85,11556.33,11248.48,11346.51,62082600
6/30/2008,11345.7,11504.55,11226.34,11350.01,50323300
7/1/2008,11344.64,11465.79,11106.65,11382.26,58462900
7/2/2008,11382.34,11510.41,11180.58,11215.51,52760900
7/3/2008,11297.33,11336.49,11158.02,11288.53,32475900
7/7/2008,11289.19,11477.52,11094.44,11231.96,52654200
