Date,Open,High,Low,Close,Volume
DATE,REAL,REAL,REAL,REAL,REAL
2/29/2008,151,151.6,148.7,151.4,8845558
3/3/2008,145,147.9,145,145.7,10227469
3/4/2008,147.8,147.8,141,141.6,12394929
3/5/2008,141.2,144.2,140.1,141,10740113
3/6/2008,143.9,146.8,141.6,143.1,12566006
3/7/2008,138,139.5,136.1,136.7,17906417
3/10/2008,134.2,138.2,133,138.1,11441973
3/10/2008,134.2,138.2,133,138.1,11441973
3/11/2008,134.7,142.5,134.7,141.2,12879640
3/11/2008,134.7,142.5,134.7,141.2,12879640
3/12/2008,148.9,148.9,141.1,143.5,13202736
3/12/2008,148.9,148.9,141.1,143.5,13202736
3/13/2008,139.1,139.4,134.4,135.4,14092671
3/13/2008,139.1,139.4,134.4,135.4,14092671
3/14/2008,136.1,137.9,131.9,133.5,8875775
3/14/2008,136.1,137.9,131.9,133.5,8875775
3/17/2008,127,127.8,125.3,125.6,13933931
3/17/2008,127,127.8,125.3,125.6,13933931
3/18/2008,131.1,131.1,117,124.2,22528816
3/18/2008,131.1,131.1,117,124.2,22528816
3/19/2008,129.7,130.8,121.9,122.5,19170776
3/19/2008,129.7,130.8,121.9,122.5,19170776
3/20/2008,117,120.4,116.4,118.8,16696248
3/20/2008,117,120.4,116.4,118.8,16696248
3/25/2008,123.5,129.1,123.5,127.3,20077177
3/25/2008,123.5,129.1,123.5,127.3,20077177
3/26/2008,126,133.9,126,130.5,15251303
3/26/2008,126,133.9,126,130.5,15251303
3/27/2008,127,131.2,126.7,128.8,9052862
3/27/2008,127,131.2,126.7,128.8,9052862
3/28/2008,127.6,138,127.6,137.6,15552876
3/28/2008,127.6,138,127.6,137.6,15552876
3/31/2008,135.8,136,132.1,133.6,11541021
3/31/2008,135.8,136,132.1,133.6,11541021
4/1/2008,135.1,136.5,131.8,134.3,9703928
4/1/2008,135.1,136.5,131.8,134.3,9703928
4/2/2008,143,145,140,142.9,22236250
4/2/2008,143,145,140,142.9,22236250
4/3/2008,144,149,143.3,148.5,16533148
4/3/2008,144,149,143.3,148.5,16533148
4/7/2008,149.8,154.2,149.3,152.3,14237322
4/7/2008,149.8,154.2,149.3,152.3,14237322
4/8/2008,151.8,151.8,149.3,150.3,10523272
4/8/2008,151.8,151.8,149.3,150.3,10523272
4/9/2008,151,152.3,143.5,145.8,10002399
4/9/2008,151,152.3,143.5,145.8,10002399
4/10/2008,145.3,149.3,144.2,147.9,7563164
4/10/2008,145.3,149.3,144.2,147.9,7563164
4/11/2008,149.8,151.5,147.9,150.7,6633969
4/11/2008,149.8,151.5,147.9,150.7,6633969
4/14/2008,145.8,146.2,141.9,142.9,12294443
4/14/2008,145.8,146.2,141.9,142.9,12294443
4/15/2008,143,144.3,139.7,142.5,7143361
4/15/2008,143,144.3,139.7,142.5,7143361
4/16/2008,143.5,145.2,142,143.1,5007812
4/16/2008,143.5,145.2,142,143.1,5007812
4/17/2008,144.2,146,142.2,142.8,9878690
