Date,Open,High,Low,Close,Volume
DATE,REAL,REAL,REAL,REAL,REAL
2/29/2008,5965.7,5986.2,5859.3,5884.3,1558677200
3/3/2008,5884.3,5884.3,5770.1,5818.6,1524223000
3/4/2008,5818.6,5872.9,5719.8,5767.7,1557756500
3/5/2008,5767.7,5860.5,5763.9,5853.5,1416583600
3/6/2008,5853.5,5871.1,5753.1,5766.4,1223869600
3/7/2008,5766.4,5766.4,5655.7,5699.9,1561260200
3/10/2008,5699.9,5718.8,5616.6,5629.1,1311043900
3/11/2008,5629.1,5783.4,5629.1,5690.4,1753848000
3/12/2008,5690.4,5812.7,5690.4,5776.4,1421374500
3/13/2008,5776.4,5776.4,5628.9,5692.4,1628702200
3/14/2008,5692.4,5782,5595.8,5631.7,1551274900
3/17/2008,5631.7,5631.7,5414.4,5414.4,2058764000
3/18/2008,5414.4,5610,5414.4,5605.8,1660294600
3/19/2008,5605.8,5653.6,5524.8,5545.6,2127270600
3/20/2008,5545.6,5545.6,5461.9,5495.2,2137214800
3/25/2008,5495.2,5704.3,5495.2,5689.1,1962218800
3/26/2008,5689.1,5689.1,5639.1,5660.4,1503602200
3/27/2008,5660.4,5735,5650.9,5717.5,1419002800
3/28/2008,5717.5,5747.2,5673.7,5692.9,1045046000
3/31/2008,5692.9,5715.1,5585.6,5702.1,1374906000
4/1/2008,5702.1,5865.8,5670.4,5852.6,1473810500
4/2/2008,5852.6,5920.1,5827.2,5915.9,1317727700
4/3/2008,5915.9,5935.2,5864,5891.3,1065812800
4/4/2008,5891.3,5948,5888,5947.1,955634000
4/7/2008,5947.1,6014.8,5947.1,6014.8,946532500
4/8/2008,6014.8,6014.8,5942.2,5990.2,934848900
4/9/2008,5990.2,6015.6,5947.2,5983.9,955804800
4/10/2008,5983.9,6003.2,5881.9,5965.1,1231191100
4/11/2008,5965.1,6016.3,5866.1,5895.5,1230140800
4/14/2008,5895.5,5895.5,5827,5831.6,1072015700
4/15/2008,5831.6,5943.3,5831.6,5906.9,1265818100
4/16/2008,5906.9,6046.2,5906.9,6046.2,1277224000
4/17/2008,6046.2,6086.4,5973.9,5980.4,1341988500
4/18/2008,5980.4,6062.1,5974.3,6056.5,1420110800
4/21/2008,6056.5,6089.5,6021.2,6053,1173183700
4/22/2008,6053,6072,6007.5,6034.7,1035231400
4/23/2008,6034.7,6083.6,5978.8,6083.6,1353681200
4/24/2008,6083.6,6083.6,5951.9,6050.7,1145619100
4/25/2008,6050.7,6098.8,6045.5,6091.4,1148950800
4/28/2008,6091.4,6134.5,6083.5,6090.4,781898400
4/29/2008,6090.4,6133.5,6051.6,6089.4,998315800
4/30/2008,6089.4,6120.3,6035.8,6087.3,1156329800
5/1/2008,6087.3,6118.2,6066,6087.3,579875000
5/2/2008,6087.3,6223.9,6087.3,6215.5,1199397100
5/6/2008,6215.5,6233.7,6155.9,6215.2,1079965300
5/7/2008,6215.2,6275,6214.1,6261,1037172400
5/8/2008,6256.5,6273.3,6217,6270.8,1054319800
5/9/2008,6270.8,6270.8,6167.6,6204.7,965929700
5/12/2008,6204.7,6251.9,6184.8,6220.6,678570700
5/13/2008,6220.6,6268.1,6142.3,6211.9,1049796000
5/14/2008,6211.9,6253.1,6167.9,6216,1161774400
5/15/2008,6216,6258.5,6168.8,6251.8,1137169700
5/16/2008,6251.8,6348.6,6251.8,6304.3,1197660300
5/19/2008,6304.3,6377,6302.8,6376.5,1110917100
5/20/2008,6376.5,6376.5,6191.6,6191.6,1351934500
