Date,Open,High,Low,Close,Volume
DATE,REAL,REAL,REAL,REAL,REAL
2/29/2008,2309.06,2311.23,2264.97,2271.48,24053600
3/3/2008,2271.26,2275.75,2240.3,2258.6,21450700
3/4/2008,2244.21,2266.37,2221.09,2260.28,26699800
3/5/2008,2266.49,2290.01,2254.2,2272.81,22090900
3/6/2008,2265.67,2272.2,2219.33,2220.5,21650900
3/7/2008,2204.48,2242.5,2186.93,2212.49,23869800
3/10/2008,2211.14,2216.89,2168.67,2169.34,21010100
3/11/2008,2209.65,2255.76,2192.5,2255.76,25260400
3/12/2008,2259.97,2282.61,2241.38,2243.87,20771400
3/13/2008,2219.28,2272.55,2199.38,2263.61,24192200
3/14/2008,2271.21,2277.11,2191.75,2212.49,25473100
3/17/2008,2166.94,2200.53,2155.42,2177.01,23382100
3/18/2008,2215.61,2268.26,2206.81,2268.26,24116300
3/19/2008,2272.12,2280.9,2209.96,2209.96,22654200
3/20/2008,2220.5,2258.11,2208.12,2258.11,27644800
3/24/2008,2268.2,2336.7,2268.2,2326.75,23126000
3/25/2008,2329.16,2346.78,2312.06,2341.05,20990600
3/26/2008,2328.62,2331.18,2306.49,2324.36,19152100
3/27/2008,2315.04,2315.91,2280.47,2280.83,20387700
3/28/2008,2291.32,2304.71,2256.87,2261.18,17857700
3/31/2008,2265.15,2289.7,2260.59,2279.1,17883600
4/1/2008,2306.51,2362.75,2305.4,2362.75,21601200
4/2/2008,2363.42,2381.21,2347.78,2361.4,19966800
4/3/2008,2347.91,2373.99,2339.38,2363.3,19934800
4/4/2008,2366.91,2391.93,2351.76,2370.98,19775600
4/7/2008,2386.62,2390.04,2359.54,2364.83,17300200
4/8/2008,2353.58,2359.4,2337.84,2348.76,16352900
4/9/2008,2351.94,2353.54,2311.45,2322.12,19220500
4/10/2008,2326.78,2363.91,2324.39,2351.7,21590000
4/11/2008,2327.7,2328.45,2286.19,2290.24,19025400
4/14/2008,2287.02,2296.73,2274.91,2275.82,16267100
4/15/2008,2287.43,2291.12,2266.29,2286.04,18847500
4/16/2008,2313.42,2352.21,2313.42,2350.11,21287700
4/17/2008,2347.32,2348.31,2327.66,2341.83,17793000
4/18/2008,2394.52,2412.78,2383.24,2402.97,21909200
4/21/2008,2393.07,2410.97,2389.82,2408.04,16012800
4/22/2008,2397.12,2397.17,2361.67,2376.94,19416800
4/23/2008,2391.64,2412.53,2382.77,2405.21,21815800
4/24/2008,2408.25,2447.28,2383.76,2428.92,23371600
4/25/2008,2424.68,2427.09,2391.15,2422.93,19562600
4/28/2008,2422.63,2437,2416.9,2424.4,17246800
4/29/2008,2420,2435.38,2412.1,2426.1,17690300
4/30/2008,2434.2,2451.19,2406.37,2412.8,21273900
5/1/2008,2416.49,2480.71,2416.49,2480.71,23447700
5/2/2008,2499.14,2499.14,2461.46,2476.99,22795100
5/5/2008,2475.31,2486.05,2458.12,2464.12,20851100
5/6/2008,2455.11,2488.83,2445.37,2483.31,20972600
5/7/2008,2483.03,2496.65,2435.76,2438.49,22388100
5/8/2008,2450.01,2462.51,2436.61,2451.24,20317700
5/9/2008,2432.55,2455.33,2429.03,2445.52,17115100
5/12/2008,2454.65,2490.22,2446.36,2488.49,17693300
5/13/2008,2491.02,2498.07,2472.58,2495.12,18952500
5/14/2008,2503.28,2528.4,2493.58,2496.7,21292700
5/15/2008,2496.44,2535.19,2492.95,2533.73,21763200
5/16/2008,2537.41,2537.41,2504.18,2528.85,22860900
5/19/2008,2530.82,2551.47,2505.6,2516.09,22695900
5/20/2008,2505.86,2506.19,2479.37,2492.26,19910100
5/21/2008,2497.39,2508.9,2444.99,2448.27,21664500
5/22/2008,2454.74,2474.53,2448.84,2464.58,19320800
5/23/2008,2454.14,2456,2430.36,2444.67,17340700
5/27/2008,2450.52,2482.08,2448.58,2481.24,17427100
5/28/2008,2491.5,2493.38,2465.59,2486.7,17927500
5/29/2008,2486.09,2522.14,2485.92,2508.32,19561000
5/30/2008,2519.14,2530.16,2510.65,2522.66,21533500
6/2/2008,2514.82,2516.37,2471.41,2491.53,19727600
6/3/2008,2500.5,2513.89,2460.56,2480.48,21480400
6/4/2008,2473.03,2518.71,2471.52,2503.14,21535100
6/5/2008,2509.49,2549.94,2504.57,2549.94,22547600
6/6/2008,2528.52,2529.97,2474.56,2474.56,21922400
6/9/2008,2483.22,2485,2429.3,2459.46,20846300
6/10/2008,2436.75,2466.28,2432.47,2448.94,20814300
6/11/2008,2444.94,2446.28,2394.01,2394.01,20658100
6/12/2008,2414.46,2432.88,2388.49,2404.35,22766400
6/13/2008,2423.05,2454.5,2417.01,2454.5,21060500
6/16/2008,2443.13,2479.95,2441.24,2474.78,18717200
6/17/2008,2481.2,2483.19,2456.78,2457.73,17980500
6/18/2008,2444.96,2449.18,2422.96,2429.71,20307000
6/19/2008,2427.17,2469.15,2412.37,2462.06,22945400
6/20/2008,2441.96,2441.96,2394.26,2406.09,25703200
6/23/2008,2416.55,2419.69,2384.56,2385.74,19162300
6/24/2008,2375.8,2394.86,2352.1,2368.28,21959200
6/25/2008,2376.82,2421.25,2376.29,2401.26,21539700
6/26/2008,2365.86,2366.16,2321.37,2321.37,23008400
6/27/2008,2319.62,2329.94,2290.59,2315.63,34035400
6/30/2008,2312.42,2325.49,2292.98,2292.98,20964000
7/1/2008,2274.24,2306.91,2255.79,2304.97,26538900
7/2/2008,2311.57,2317.2,2251.3,2251.46,23763000
7/3/2008,2261.74,2262.96,2227.8,2245.38,14236700
7/7/2008,2263.69,2276.54,2214.16,2243.32,23639900
7/8/2008,2244.9,2294.44,2233.99,2294.44,24623800
7/9/2008,2290.63,2296.03,2234.59,2234.89,22855600
7/10/2008,2239.95,2267.67,2223.04,2257.85,23008800
7/11/2008,2233.38,2265.86,2203.25,2239.08,23401800
7/14/2008,2262.86,2266.44,2207,2212.87,19979900
7/15/2008,2197.18,2249.12,2167.29,2215.71,27984100
7/16/2008,2219.27,2284.85,2205.71,2284.85,24250200
7/17/2008,2296.57,2320.77,2274.27,2312.3,25706700
7/18/2008,2286.92,2293.18,2269.55,2282.78,22258000
7/21/2008,2290.75,2300.32,2270.28,2279.53,18594100
7/22/2008,2256.32,2303.96,2252.84,2303.96,25103100
7/23/2008,2305.11,2350.09,2300.2,2325.88,27301800
7/24/2008,2329.21,2329.21,2278.91,2280.11,24999200
7/25/2008,2294.69,2312.6,2282.63,2310.53,816591000
7/28/2008,2307.19,2317.75,2258.62,2264.22,786739000
7/29/2008,2274.61,2320.18,2274.37,2319.62,877391000
7/30/2008,2329.01,2342.88,2299.98,2329.72,858020000
7/31/2008,2311.33,2353.39,2309.64,2325.55,895843000
8/1/2008,2326.83,2328.95,2286.41,2310.96,797463000
8/4/2008,2309.75,2309.75,2280.93,2285.56,734740000
8/5/2008,2308.14,2349.83,2303.63,2349.83,869091000
8/6/2008,2349.17,2385.77,2333.53,2378.37,844565000
8/7/2008,2362.79,2386.44,2351.32,2355.73,842289000
8/8/2008,2356.84,2416.4,2352.04,2414.1,815611000
8/11/2008,2407.55,2461.65,2402.53,2439.95,824956000
8/12/2008,2434.26,2447.16,2421.09,2430.61,774178000
8/13/2008,2424.32,2443.44,2404.03,2428.62,740980000
8/14/2008,2414.41,2461.15,2414.41,2453.67,670221000
8/15/2008,2463.1,2473.2,2441.05,2452.52,718694000
8/18/2008,2456.96,2456.96,2404.41,2416.98,604665000
8/19/2008,2404.95,2410.96,2376.67,2384.36,649103000
8/20/2008,2396.58,2408.68,2372.34,2389.08,642257000
8/21/2008,2371.54,2387.72,2360.39,2380.38,558384000
8/22/2008,2390.34,2417.63,2390.34,2414.71,512934000
8/25/2008,2399.73,2399.73,2362.2,2365.59,536762000
8/26/2008,2364.31,2377.04,2345.79,2361.97,543657000
8/27/2008,2362.86,2395.02,2358.93,2382.46,561560000
8/28/2008,2390.11,2412.84,2388.55,2411.64,575248000
8/29/2008,2388.67,2393.49,2360.91,2367.52,595459000
9/2/2008,2402.11,2413.11,2338.37,2349.24,723165000
9/3/2008,2346.81,2357.43,2320.91,2333.73,809727000
9/4/2008,2315.18,2317.32,2259.04,2259.04,872435000
9/5/2008,2241.62,2264.35,2216.99,2255.88,818127000
9/8/2008,2296.18,2303.89,2236.97,2269.76,950508000
9/9/2008,2269.93,2285.54,2209.81,2209.81,967748000
9/10/2008,2232.21,2247.63,2209.59,2228.7,838811000
9/11/2008,2199.03,2259.25,2191.53,2258.22,852181000
9/12/2008,2239.25,2268.83,2228,2261.27,749823000
9/15/2008,2202.28,2244.88,2179.91,2179.91,970010000
9/16/2008,2149.65,2214.29,2145.17,2207.9,1214330000
9/17/2008,2177.58,2183.25,2098.85,2098.85,1155539000
9/18/2008,2137.42,2201.71,2070.22,2199.1,1494485000
9/19/2008,2303.9,2318.43,2239.73,2273.9,1923985000
9/22/2008,2265.77,2266.45,2178.98,2178.98,718071000
9/23/2008,2190.71,2209.62,2151.77,2153.33,740520000
9/24/2008,2167.55,2179.93,2147.36,2155.68,662752000
