Date,Open,High,Low,Close,Volume
DATE,REAL,REAL,REAL,REAL,REAL
2/29/2008,1364.07,1364.07,1325.42,1330.63,44267300
3/3/2008,1330.45,1335.13,1320.04,1331.34,41175700
3/4/2008,1329.58,1331.03,1307.39,1326.75,47571800
3/5/2008,1327.69,1344.19,1320.22,1333.7,42777100
3/6/2008,1332.2,1332.2,1303.42,1304.34,43234600
3/7/2008,1301.53,1313.24,1282.43,1293.37,45654100
3/10/2008,1293.16,1295.01,1272.66,1273.37,42612400
3/11/2008,1274.4,1320.65,1274.4,1320.65,51090800
3/12/2008,1321.13,1333.26,1307.86,1308.77,44142800
3/13/2008,1305.26,1321.68,1282.11,1315.48,50733600
3/14/2008,1316.05,1321.47,1274.86,1288.14,51537800
3/17/2008,1283.21,1287.5,1256.98,1276.6,56830100
3/18/2008,1277.16,1330.74,1277.16,1330.74,53356300
3/19/2008,1330.97,1341.51,1298.42,1298.42,12038300
3/20/2008,1299.67,1330.67,1295.22,1329.51,61452200
3/24/2008,1330.29,1359.68,1330.29,1349.88,44990000
3/25/2008,1349.07,1357.47,1341.21,1352.99,41451200
3/26/2008,1352.45,1352.45,1336.41,1341.13,40556700
3/27/2008,1340.34,1345.62,1325.66,1325.76,40379300
3/28/2008,1327.02,1334.87,1312.95,1315.22,36869800
3/31/2008,1315.92,1328.52,1312.81,1322.7,41889900
4/1/2008,1326.41,1370.18,1326.41,1370.18,47451200
4/2/2008,1369.96,1377.95,1361.55,1367.53,43204400
4/3/2008,1365.69,1375.66,1358.68,1369.31,39201000
4/4/2008,1369.85,1380.91,1362.83,1370.4,37031000
4/7/2008,1373.69,1386.74,1369.02,1372.54,37477800
4/8/2008,1370.16,1370.16,1360.62,1365.54,36025000
4/9/2008,1365.5,1368.39,1349.97,1354.49,35566700
4/10/2008,1355.37,1367.24,1350.11,1360.55,36861500
4/11/2008,1357.98,1357.98,1331.21,1332.83,37237900
4/14/2008,1332.2,1335.64,1326.16,1328.32,35650200
4/15/2008,1331.72,1337.72,1324.35,1334.43,35812300
4/16/2008,1337.02,1365.49,1337.02,1364.71,42603700
4/17/2008,1363.37,1368.6,1357.25,1365.56,37138800
4/18/2008,1369,1395.9,1369,1390.33,42223800
4/21/2008,1387.72,1390.23,1379.25,1388.17,34205700
4/22/2008,1386.43,1386.43,1369.84,1375.94,38219000
